Marital_Status,Kidhome,Teenhome,Education_Level,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotal,AcceptedCmpOverall,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Age,Complain,Customer_Days,MntRegularProds,NumCatalogPurchases,NumDealsPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Response,Z_CostContact,Z_Revenue
Single,0,0,Master,74927,39,156,17,82,18,20,11,304,1,0,1,1,0,0,46.0,0,566,293,5,2,3,1,4,1,3,11
Widow,0,0,Master,95766,22,192,17,101,28,31,25,394,1,1,0,0,0,0,39.0,0,3103,369,1,7,0,2,2,0,3,11
Married,0,1,Graduation,59676,46,50,7,57,46,32,2,194,0,0,0,0,0,0,36.0,0,565,192,3,6,0,5,6,0,3,11
Married,2,2,Graduation,59663,2,0,39,0,62,70,0,171,1,0,0,0,0,0,35.0,0,1582,171,4,1,1,2,4,0,3,11
Single,0,0,Graduation,66230,42,152,15,69,20,12,26,294,0,0,0,0,0,0,45.0,0,2250,268,1,4,5,6,4,0,3,11
Single,0,0,2n Cycle,72469,34,143,14,73,25,16,13,284,1,0,0,0,0,0,50.0,0,210,271,3,4,6,3,8,0,3,11
Single,0,0,Master,66261,32,150,15,70,18,21,10,284,0,0,0,0,0,0,36.0,0,2106,274,2,1,4,3,5,0,3,11
Together,0,2,Graduation,87568,47,0,14,86,101,60,0,261,1,0,0,0,0,0,35.0,0,3375,261,0,3,0,5,11,0,3,11
Married,0,1,Graduation,68500,22,70,11,78,53,38,8,258,1,0,0,0,0,0,25.0,1,3415,250,4,1,1,5,5,0,3,11
Married,0,2,Master,69326,24,0,23,62,63,56,0,204,1,0,1,1,0,0,62.0,0,3041,204,2,6,3,2,10,0,3,11
Single,0,0,Basic,56813,47,108,15,44,24,11,15,217,0,0,0,0,0,0,42.0,0,3624,202,2,6,3,1,7,0,3,11
Widow,0,0,Graduation,69807,52,151,10,86,26,14,12,299,1,0,0,0,0,1,80.0,0,1494,287,6,3,4,1,8,0,3,11
Together,0,2,2n Cycle,52994,7,0,11,54,55,35,0,155,1,0,0,0,0,0,51.0,0,3850,155,1,3,2,2,5,0,3,11
Single,1,0,Basic,53900,36,37,17,30,15,22,5,126,0,0,0,0,0,0,26.0,0,1072,121,1,4,2,2,5,0,3,11
Single,0,0,Graduation,76978,53,168,16,82,29,14,21,330,1,0,0,0,0,0,51.0,0,3481,309,1,2,5,3,9,0,3,11
Single,0,0,PhD,84535,66,191,16,93,34,16,17,367,1,0,0,0,1,0,35.0,0,3080,350,8,4,2,1,5,0,3,11
Single,1,0,Graduation,64624,39,67,25,28,20,27,9,176,1,0,0,0,0,0,42.0,0,4104,167,2,1,1,3,3,0,3,11
Married,1,1,Master,108853,8,0,45,58,65,102,0,270,1,0,0,0,0,1,42.0,1,3721,270,7,4,1,6,7,1,3,11
Married,1,2,2n Cycle,78446,26,0,32,43,66,78,0,219,1,1,1,0,0,1,30.0,0,2706,219,7,3,2,4,5,0,3,11
